Date,Open,High,Low,Close,Volume,Adj Close
2015-01-12,85.59,85.59,85.59,85.59,100,85.59
2015-01-29,85.74,85.74,85.74,85.74,2000,85.74
2015-01-30,100.45,100.45,100.45,100.45,000,100.45
2015-02-02,84.87,84.87,84.87,84.87,200,84.87
2015-02-09,84.96,84.96,84.96,84.96,100,84.96
2015-02-16,84.64,84.64,84.64,84.64,900,84.64
2015-02-17,84.65,84.65,84.65,84.65,100,84.65
2015-02-26,84.78,84.78,84.78,84.78,400,84.78
2015-02-27,100.45,100.45,100.45,100.45,000,100.45
2015-03-13,84.99,84.99,84.99,84.99,500,84.99
2015-03-31,85.27,85.27,85.27,85.27,000,85.27
2015-04-07,85.65,85.65,85.65,85.65,200,85.65
2015-04-14,85.44,85.44,85.44,85.44,1200,85.44
2015-04-16,85.46,85.46,85.46,85.46,200,85.46
2015-04-22,85.53,85.53,85.53,85.53,600,85.53
2015-04-23,85.55,85.55,85.55,85.55,400,85.55
2015-04-30,84.76,84.76,84.76,84.76,000,84.76
2015-05-04,85.05,85.05,85.05,85.05,200,85.05
2015-05-07,85.08,85.08,85.08,85.08,000,85.08
2015-05-08,85.10,85.10,85.10,85.10,900,85.10
2015-05-11,85.13,85.13,85.13,85.13,000,85.13
2015-05-28,85.09,85.09,85.09,85.09,500,85.09
2015-05-29,84.76,84.76,84.76,84.76,000,84.76
2015-06-01,85.14,85.14,85.14,85.14,600,85.14
2015-06-02,85.15,85.15,85.15,85.15,000,85.15
2015-06-09,85.24,85.24,85.24,85.24,100,85.24
2015-06-16,85.29,85.29,85.29,85.29,100,85.29
2015-06-18,85.32,85.32,85.32,85.32,200,85.32
2015-06-26,85.41,85.41,85.41,85.41,100,85.41
2015-06-30,85.17,85.17,85.17,85.17,000,85.17
2015-07-03,85.50,85.50,85.50,85.50,200,85.50
2015-07-06,85.53,85.53,85.53,85.53,600,85.53
2015-07-07,85.53,85.54,85.53,85.54,800,85.54
2015-07-27,85.49,85.49,85.49,85.49,100,85.49
2015-07-29,85.52,85.52,85.52,85.52,400,85.52
2015-07-31,100.45,100.45,100.45,100.45,000,100.45
2015-08-05,85.03,85.03,85.03,85.03,100,85.03
2015-08-10,64.80,64.80,64.80,64.80,1800,64.80
2015-08-13,64.82,64.82,64.82,64.82,000,64.82
2015-08-14,64.83,64.83,64.83,64.83,300,64.83
2015-08-24,64.48,64.48,64.48,64.48,400,64.48
2015-08-27,64.51,64.51,64.51,64.51,100,64.51
2015-08-31,64.54,64.54,64.54,64.54,200,64.54
2015-09-01,64.55,64.55,64.55,64.55,100,64.55
2015-09-04,64.58,64.58,64.58,64.58,300,64.58
2015-09-10,64.63,64.63,64.63,64.63,100,64.63
2015-09-15,64.59,64.59,64.59,64.59,100,64.59
2015-09-18,64.62,64.62,64.62,64.62,500,64.62
2015-09-25,64.68,64.68,64.68,64.68,400,64.68
2015-09-28,64.68,64.68,64.68,64.68,500,64.68
2015-10-13,64.84,64.84,64.84,64.84,500,64.84
2015-11-23,64.72,64.72,64.72,64.72,200,64.72
2015-12-09,61.92,61.92,61.92,61.92,100,61.92
2015-12-14,61.97,61.97,61.97,61.97,2100,61.97
2015-12-15,62.47,62.47,62.47,62.47,1000,62.47
2015-12-16,62.48,62.48,62.48,62.48,1900,62.48
2015-12-21,62.52,62.52,62.49,62.49,1100,62.49
2015-12-29,62.65,62.65,62.65,62.65,900,62.65
2015-12-30,62.66,62.66,62.66,62.66,100,62.66
2016-01-08,62.74,62.76,62.74,62.76,1200,62.76
2016-01-12,62.80,62.80,62.80,62.80,300,62.80
2016-01-13,62.81,62.81,62.81,62.81,700,62.81
2016-01-14,62.82,62.82,62.82,62.82,000,62.82
2016-01-29,62.83,62.83,62.83,62.83,000,62.83
2016-02-01,62.86,62.86,62.86,62.86,1300,62.86
2016-02-03,62.86,62.86,62.86,62.86,000,62.86
2016-02-16,62.85,62.85,62.84,62.84,200,62.84
2016-02-19,60.00,60.00,60.00,60.00,100,60.00
2016-02-22,60.00,60.00,60.00,60.00,100,60.00
2016-03-11,54.64,54.64,54.64,54.64,400,54.64
2016-03-21,54.96,54.96,54.96,54.96,100,54.96
2016-04-01,55.06,55.06,55.06,55.06,200,55.06
2016-04-04,55.09,55.09,55.09,55.09,100,55.09
2016-04-06,55.10,55.10,55.10,55.10,100,55.10
2016-04-07,55.12,55.12,55.12,55.12,100,55.12




