Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,0.035,0.035,0.035,0.035,000,0.035
2015-01-02,0.035,0.035,0.035,0.035,000,0.035
2015-01-05,0.035,0.035,0.035,0.035,000,0.035
2015-01-06,0.035,0.035,0.035,0.035,000,0.035
2015-01-07,0.035,0.035,0.035,0.035,000,0.035
2015-01-08,0.035,0.035,0.035,0.035,000,0.035
2015-01-09,0.035,0.035,0.035,0.035,000,0.035
2015-01-12,0.035,0.035,0.035,0.035,000,0.035
2015-01-13,0.035,0.035,0.035,0.035,000,0.035
2015-01-14,0.035,0.035,0.035,0.035,000,0.035
2015-01-15,0.035,0.035,0.035,0.035,000,0.035
2015-01-16,0.035,0.035,0.035,0.035,000,0.035
2015-01-19,0.035,0.035,0.035,0.035,000,0.035
2015-01-20,0.035,0.035,0.035,0.035,000,0.035
2015-01-21,0.035,0.035,0.035,0.035,000,0.035
2015-01-22,0.035,0.035,0.035,0.035,000,0.035
2015-01-23,0.035,0.035,0.035,0.035,000,0.035
2015-01-26,0.035,0.035,0.035,0.035,000,0.035
2015-01-27,0.035,0.035,0.035,0.035,000,0.035
2015-01-28,0.035,0.035,0.035,0.035,000,0.035
2015-01-29,0.035,0.035,0.035,0.035,000,0.035
2015-01-30,0.035,0.035,0.035,0.035,000,0.035
2015-02-02,0.035,0.035,0.035,0.035,000,0.035
2015-02-03,0.035,0.035,0.035,0.035,000,0.035
2015-02-04,0.035,0.035,0.035,0.035,000,0.035
2015-02-05,0.035,0.035,0.035,0.035,000,0.035
2015-02-06,0.035,0.035,0.035,0.035,000,0.035
2015-02-09,0.035,0.035,0.035,0.035,000,0.035
2015-02-10,0.035,0.035,0.035,0.035,000,0.035
2015-02-11,0.035,0.035,0.035,0.035,000,0.035
2015-02-12,0.035,0.035,0.035,0.035,000,0.035
2015-02-13,0.035,0.035,0.035,0.035,000,0.035
2015-02-16,0.035,0.035,0.035,0.035,000,0.035
2015-02-17,0.035,0.035,0.035,0.035,000,0.035
2015-02-18,0.035,0.035,0.035,0.035,000,0.035
2015-02-19,0.035,0.035,0.035,0.035,000,0.035
2015-02-20,0.035,0.035,0.035,0.035,000,0.035
2015-02-23,0.035,0.035,0.035,0.035,000,0.035
2015-02-24,0.035,0.035,0.035,0.035,000,0.035
